case_id,ED,ET,NCR,TC,WT,model
UCSF-PDGM-0091,0.7252680558365365,0.9057802572446924,0.8623619371282922,0.9677529238106052,0.9173818181818182,Fold_2
UCSF-PDGM-0096,0.9281180903740152,0.8419734933534683,0.9378473976755938,0.9157523647744593,0.9717327102197124,Fold_2
UCSF-PDGM-0107,0.9135368907098494,0.9009162303664922,0.9285301483336544,0.9339065018807093,0.9349207704600071,Fold_2
UCSF-PDGM-0116,0.9657248242744798,0.9548016314423433,0.9883976168077767,0.9824130177965779,0.983503489646421,Fold_2
UCSF-PDGM-0121,0.9537540805223068,0.9681934969433862,0.9708687132593077,0.9836249958648979,0.9741475242769624,Fold_2
UCSF-PDGM-0156,0.955302229420434,0.8701711491442543,0.2769640479360852,0.8615313723984332,0.9771765299337354,Fold_2
UCSF-PDGM-0159,0.9167693577839867,0.9388963745182214,0.9164641989424039,0.9827477291044938,0.943763196001149,Fold_2
UCSF-PDGM-0176,0.8155016428860782,0.8989019310867096,0.897677504976775,0.9375165709235528,0.8982265696449163,Fold_2
UCSF-PDGM-0197,0.903722278457716,0.9215332852679644,0.9784316720120824,0.9727818043192695,0.9659187832295694,Fold_2
UCSF-PDGM-0200,0.5487750556792873,0.9291876613002334,0.9680934320630907,0.9753609265698784,0.910141835479552,Fold_2
UCSF-PDGM-0207,0.9353481338622367,0.9657640374824762,0.9818787542274494,0.9878721998422747,0.958979554912249,Fold_2
UCSF-PDGM-0227,0.6709906894026572,0.8982599675089546,0.8859586600142552,0.9557208092403828,0.8355325707555704,Fold_2
UCSF-PDGM-0231,0.9533955684446415,1.0,1.0,1.0,0.9533955684446415,Fold_2
UCSF-PDGM-0235,0.9740112018199358,1.0,1.0,1.0,0.9740112018199358,Fold_2
UCSF-PDGM-0240,0.972717817425394,1.0,1.0,1.0,0.972717817425394,Fold_2
UCSF-PDGM-0244,0.9849124268714567,0.11235955056179775,1.0,0.11235955056179775,0.9863652802893309,Fold_2
UCSF-PDGM-0261,0.9621208456291422,1.0,1.0,1.0,0.9621208456291422,Fold_2
UCSF-PDGM-0288,0.3806296914095079,0.8031499125024305,0.8854564387365498,0.9587367361164898,0.9004343850022862,Fold_2
UCSF-PDGM-0333,0.7406280667320903,0.9601873536299765,0.918918918918919,0.9652076318742986,0.7577418092234015,Fold_2
UCSF-PDGM-0335,0.9559209375546616,0.9686687306501548,0.9888875015607441,0.9898035314598359,0.9781269254467037,Fold_2
UCSF-PDGM-0356,0.9705364995602462,0.9512921082644858,0.964135149996945,0.9775594464408593,0.9814937398343231,Fold_2
UCSF-PDGM-0358,0.9465121343936335,0.944201628469372,0.9885299081382071,0.9895435546359685,0.972670945956708,Fold_2
UCSF-PDGM-0360,0.9156055415508586,0.9648777354169286,0.9938738038911056,0.990150953805215,0.9717302145709481,Fold_2
UCSF-PDGM-0366,0.9362220360544851,0.9344407603164703,0.9932145487596571,0.9833252010098225,0.9665934853712084,Fold_2
UCSF-PDGM-0377,0.9357308018210803,0.9491050676413914,0.9831310254784904,0.9837916414294368,0.9672014294589921,Fold_2
UCSF-PDGM-0379,0.9166528651871481,0.9750153527909758,0.9697020143166306,0.9904779642865458,0.9436733757998295,Fold_2
UCSF-PDGM-0414,0.9346148514393975,0.9685756624825662,0.9875586679579825,0.9847664091071576,0.9645571159340993,Fold_2
UCSF-PDGM-0478,0.966847629388346,1.0,1.0,1.0,0.966847629388346,Fold_2
UCSF-PDGM-0485,0.9578374138269147,0.0,1.0,0.0,0.9627661171666216,Fold_2
UCSF-PDGM-0497,0.9700190826206799,0.9504158816230872,0.896551724137931,0.9566750407686544,0.9769883025999898,Fold_2
UCSF-PDGM-0503,0.9492594213900603,0.9774784131034687,0.9374269005847953,0.9853182834514156,0.9599058771623435,Fold_2
UCSF-PDGM-0509,0.9161521699654984,0.9121185562903354,0.9426207632772885,0.9451466437599706,0.9474102793518242,Fold_2
UCSF-PDGM-0525,0.9387730091423809,0.7859488973254276,0.9115162294353045,0.7997964790882263,0.8986101443399906,Fold_2
UCSF-PDGM-0529,0.7661732329276113,0.6970656362845554,0.7457522277849729,0.7879624956838163,0.9869570546862836,Fold_2
UCSF-PDGM-0532,0.9336566531688483,0.9460754207099865,0.9795962665509008,0.9855373091328148,0.9545553308485568,Fold_2
UCSF-PDGM-0536,0.9037130082394987,0.955838982726263,0.972917731221257,0.9750933303616204,0.9419560753938521,Fold_2
UCSF-PDGM-0540,0.9642998809996033,1.0,1.0,1.0,0.9642998809996033,Fold_2
UCSF-PDGM-0004,0.9239121713781391,0.9505455223648628,0.9698743100352464,0.9758939162853754,0.9706970531566567,Fold_3
UCSF-PDGM-0007,0.9556242086604203,0.9179012809906997,0.9103952175357024,0.9648382047828777,0.9635386332211467,Fold_3
UCSF-PDGM-0014,0.7641977024272744,0.855482902776289,0.9006173130389709,0.9299501959744202,0.8184888138455044,Fold_3
UCSF-PDGM-0016,0.3879864438471427,0.8251748251748252,0.8276427732835845,0.939287259798131,0.9232388526228498,Fold_3
UCSF-PDGM-0036,0.4733004262957146,0.7262516429680965,0.0,0.7397576457010964,0.6207892421199883,Fold_3
UCSF-PDGM-0039,0.9680655461046842,0.9474348570913353,0.8342245989304813,0.9579471335393066,0.9711106418711544,Fold_3
UCSF-PDGM-0066,0.6034400382226469,0.851557727550397,0.7116564417177914,0.8911111111111111,0.7474106247911794,Fold_3
UCSF-PDGM-0074,0.8038564064022923,0.8949232585596222,0.7757455268389662,0.9199633852042939,0.9121879346194627,Fold_3
UCSF-PDGM-0079,0.9570849729224296,0.9804268494968484,0.8896860986547085,0.9830061582359634,0.9780753095715669,Fold_3
UCSF-PDGM-0084,0.9516697506388228,0.9357798165137615,0.8963893249607535,0.9835216362256062,0.9729897180958562,Fold_3
UCSF-PDGM-0085,0.9643622932089587,0.9148694665153235,0.0,0.9386622259228421,0.9661105478231481,Fold_3
UCSF-PDGM-0088,0.9301808519291777,0.6432160804020101,0.0,0.6699507389162561,0.9386358209747168,Fold_3
UCSF-PDGM-0089,0.9441863644303576,0.8796422110240623,0.9379945771816645,0.9494810137882341,0.9802245838744226,Fold_3
UCSF-PDGM-0091,0.6826091002140132,0.9048835229471404,0.8664649956784788,0.9651832013220126,0.8975826972010178,Fold_3
UCSF-PDGM-0096,0.9338458552709834,0.845612295488349,0.9383320667623631,0.9174674826069759,0.97612002263042,Fold_3
UCSF-PDGM-0107,0.9146775216577948,0.8961325966850828,0.9279953917050692,0.9308017287427767,0.9355545231300193,Fold_3
UCSF-PDGM-0116,0.9677411842787031,0.9572763933024846,0.9878256778215609,0.9839916046556001,0.9846955930683655,Fold_3
UCSF-PDGM-0121,0.9605825492030301,0.9755349000350754,0.971957740967784,0.9887448728465956,0.9772219215474034,Fold_3
UCSF-PDGM-0156,0.9540755415374189,0.8666776532630192,0.26492537313432835,0.8626738794435858,0.9758607225705689,Fold_3
UCSF-PDGM-0159,0.9179218031653037,0.9386449184441656,0.9137574070107803,0.9836990868873537,0.9443601805879774,Fold_3
UCSF-PDGM-0176,0.8101865201620859,0.9029056873284967,0.8976315789473684,0.9409700903429524,0.8947789078266429,Fold_3
UCSF-PDGM-0197,0.9056107108413229,0.9240320077399069,0.9776362157766333,0.9731307013264358,0.9664789705852459,Fold_3
UCSF-PDGM-0200,0.7193274513068088,0.9275376491296695,0.943973331773788,0.9860456445900242,0.9587905780798016,Fold_3
UCSF-PDGM-0207,0.9246528440408168,0.9584127915505354,0.9729218338489861,0.9870895402851193,0.9523080715360531,Fold_3
UCSF-PDGM-0227,0.6968441069273621,0.9007230418428797,0.8805360270043907,0.9607457946952255,0.8467185238666174,Fold_3
UCSF-PDGM-0231,0.954511255747298,1.0,1.0,1.0,0.954511255747298,Fold_3
UCSF-PDGM-0235,0.9727042843725164,1.0,1.0,1.0,0.9727042843725164,Fold_3
